name,slug,country,city,homepage
"universita degli studi di firenze","universita-degli-studi-di-firenze","italia","firenze", ""
"università degli studi di roma la sapienza","università-degli-studi-di-roma-la-sapienza","italia","roma", ""
"dtu","dtu","danmark","københavn", ""
"sungkyunkwan university","sungkyunkwan-university","korea","suwon", ""
"st. pölten university of applied sciences","st.-pölten-university-of-applied-sciences","Østerrike","st. pölten", ""
"københavns universitet","københavns-universitet","danmark","københavn", ""
"sungkyunkwan university","sungkyunkwan-university","korea","suwon", ""
"rennes school of business","rennes-school-of-business","frankrike","rennes", ""
"iqs ramon llull","iqs-ramon-llull","spania","barcelona", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","hawaii", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","hawaii", ""
"university of hawaii at manoa","university-of-hawaii-at-manoa","usa","hawaii", ""
"ca foscari","ca-foscari","italia","venezia", ""
"ca foscari","ca-foscari","italia","venezia", ""
"tor vergata","tor-vergata","italia","roma", ""
"university of california berkeley","university-of-california-berkeley","usa","berkeley", ""
"sungkyunkwan university","sungkyunkwan-university","korea","suwon", ""
"university of california, berkeley","university-of-california,-berkeley","usa","berkeley", ""
"dtu","dtu","danmark","københavn", ""
"university of california santa barbara ucsb","university-of-california-santa-barbara-ucsb","usa","santa barbara", ""
"uc berkeley","uc-berkeley","usa","berkeley", ""
"universitetet i alicante","universitetet-i-alicante","spania","alicante", ""
"dtu","dtu","danmark","københavn", ""
"university of alicante","university-of-alicante","spania","alicante", ""
"aalto","aalto","finland","helsinki", ""
"universitetet i padova - unipd","universitetet-i-padova---unipd","italia","padova", ""
"upc - fib","upc---fib","spania","barcelona", ""
"technische universität berlin","technische-universität-berlin","tyskland","berlin", ""
"technisches universität berlin","technisches-universität-berlin","tyskland","berlin", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"sungkyunkwan university","sungkyunkwan-university","korea","seoul", ""
"university of york","university-of-york","storbritannia","york", ""
"eurecom","eurecom","frankrike","antibes", ""
"eurecom","eurecom","frankrike","antibes", ""
"universite grenoble alpes","universite-grenoble-alpes","frankrike","grenoble", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"universidad politécnica de valencia","universidad-politécnica-de-valencia","spania","valencia", ""
"eth zürich","eth-zürich","sveits","zürich", ""
"danmarks tekniske universitet (dtu)","danmarks-tekniske-universitet-(dtu)","danmark","københavn", ""
"dtu","dtu","danmark","københavn", ""
"dtu","dtu","danmark","københavn", ""
"universidade de lisboa/instituto superior técnico","universidade-de-lisboa/instituto-superior-técnico","portugal","lisboa", ""
"tum","tum","tyskland","münchen", ""
"tum","tum","tyskland","münchen", ""
"universitat politècnica de valència","universitat-politècnica-de-valència","spania","valencia", ""
